,path
0,"[-2.4008060654624757, 50.72805695841692]"
1,"[-2.400575537980074, 50.72805695841692]"
2,"[-2.400345010497673, 50.72824194582409]"
3,"[-2.4001144830152716, 50.728426933231255]"
4,"[-2.3998839555328706, 50.728611920638414]"
5,"[-2.399653428050469, 50.72879690804558]"
6,"[-2.399422900568068, 50.72898189545275]"
7,"[-2.399192373085667, 50.729166882859914]"
8,"[-2.3989618456032655, 50.72935187026708]"
9,"[-2.3987313181208645, 50.72953685767424]"
10,"[-2.398500790638463, 50.72972184508141]"
11,"[-2.398270263156062, 50.729906832488574]"
12,"[-2.3980397356736605, 50.73009181989574]"
13,"[-2.3978092081912594, 50.73027680730291]"
14,"[-2.3975786807088584, 50.73046179471007]"
15,"[-2.397348153226457, 50.73064678211723]"
16,"[-2.397117625744056, 50.7308317695244]"
